"FarmID","night_human","night_control","night_human_c1","night_human_c2","night_control_c1","night_control_c2"
1,30,35,30,0,35,0
2,58,59,29,29,25,34
3,58,25,29,29,25,0
4,63,54,29,34,25,29
6,58,59,29,29,25,34
7,58,59,29,29,25,34
8,58,60,29,29,26,34
9,58,60,29,29,26,34
10,58,60,29,29,26,34
11,30,26,30,0,26,0
12,58,57,29,29,26,31
13,59,59,29,30,26,33
14,51,61,29,22,26,35
15,61,57,29,32,26,31
16,57,61,29,28,26,35
17,57,61,29,28,26,35
18,57,61,29,28,26,35
19,56,68,29,27,33,35
